province,district,ward,lat,long
An Giang,An Phú,Đa Phước,10.7454454289812,105.11514739234
An Giang,An Phú,Khánh An,10.9450522348409,105.106714056724
An Giang,An Phú,Nhơn Hội,10.8961997890017,105.050136750945
An Giang,An Phú,Phú Hội,10.8381561480502,105.060545187085
An Giang,An Phú,Phú Hữu,10.8900712152602,105.116101462898
An Giang,An Phú,Phước Hưng,10.8602977693305,105.079208495677
An Giang,An Phú,Quốc Thái,10.9034311109327,105.077663003886
An Giang,An Phú,TT. An Phú,10.7944460372198,105.092240712957
An Giang,An Phú,TT. Long Bình,10.947048001697,105.088551525112
An Giang,An Phú,Vĩnh Hậu,10.7969776001399,105.140580650517
An Giang,An Phú,Vĩnh Hội Đông,10.7840901388688,105.079134248957
An Giang,An Phú,Vĩnh Lộc,10.8371638116117,105.120092075614
An Giang,An Phú,Vĩnh Trường,10.7791323106742,105.116744979582
An Giang,Châu Đốc,P. Châu Phú A,10.7047365673582,105.102255627505
An Giang,Châu Đốc,P. Châu Phú B,10.6904818768808,105.113029931149
An Giang,Châu Đốc,P. Núi Sam,10.6753331243618,105.083770743859
An Giang,Châu Đốc,P. Vĩnh Mỹ,10.6915894893092,105.140763182125
An Giang,Châu Đốc,P. Vĩnh Ngươn,10.7276216619397,105.097264856595
An Giang,Châu Đốc,Vĩnh Châu,10.6455779453528,105.097307392953
An Giang,Châu Đốc,Vĩnh Tế,10.6654148191209,105.054706565841
An Giang,Châu Phú,Bình Chánh,10.4941393427635,105.235587866081
An Giang,Châu Phú,Bình Long,10.5435703344336,105.230120480083
An Giang,Châu Phú,Bình Mỹ,10.526287402922,105.282006884936
An Giang,Châu Phú,Bình Phú,10.4871666826861,105.176603170951
An Giang,Châu Phú,Bình Thủy,10.5245830813473,105.320709505859
An Giang,Châu Phú,Đào Hữu Cảnh,10.4989141340719,105.121637015846
An Giang,Châu Phú,Khánh Hòa,10.6750924449519,105.188930685751
An Giang,Châu Phú,Mỹ Đức,10.6486846448297,105.148024968047
An Giang,Châu Phú,Mỹ Phú,10.6173725423842,105.179699552709
An Giang,Châu Phú,Ô Long Vỹ,10.5849607278065,105.112890520734
An Giang,Châu Phú,Thạnh Mỹ Tây,10.5392484420157,105.161005006683
An Giang,Châu Phú,TT. Cái Dầu,10.5708149225545,105.232765912365
An Giang,Châu Phú,Vĩnh Thạnh Trung,10.5808585561865,105.203112937768
An Giang,Châu Thành,An Hòa,10.4805839726005,105.320599724828
An Giang,Châu Thành,Bình Hòa,10.4459011025224,105.333148226479
An Giang,Châu Thành,Bình Thạnh,10.4682280059631,105.357198833918
An Giang,Châu Thành,Cần Đăng,10.4554371182299,105.284540108131
An Giang,Châu Thành,Hòa Bình Thạnh,10.4099834826735,105.346816475628
An Giang,Châu Thành,Tân Phú,10.3854348111423,105.157814041017
An Giang,Châu Thành,TT. An Châu,10.4345205821392,105.385210187046
An Giang,Châu Thành,Vĩnh An,10.4243162709162,105.143377654881
An Giang,Châu Thành,Vĩnh Bình,10.4343620163785,105.196321930926
An Giang,Châu Thành,Vĩnh Hanh,10.4399058084973,105.243826464772
An Giang,Châu Thành,Vĩnh Lợi,10.3941435303164,105.303089703893
An Giang,Châu Thành,Vĩnh Nhuận,10.3872715395652,105.239854000924
An Giang,Châu Thành,Vĩnh Thành,10.3638239641948,105.334575692031
An Giang,Chợ Mới,An Thạnh Trung,10.4327373941117,105.488420714039
An Giang,Chợ Mới,Bình Phước Xuân,10.4555954321848,105.555951363464
An Giang,Chợ Mới,Hòa An,10.3668461229514,105.497788480587
An Giang,Chợ Mới,Hòa Bình,10.3890191786186,105.469690664748
An Giang,Chợ Mới,Hội An,10.4152678289258,105.524758222612
An Giang,Chợ Mới,Kiến An,10.5465885039539,105.375608749011
An Giang,Chợ Mới,Kiến Thành,10.5115692032758,105.410764014287
An Giang,Chợ Mới,Long Điền A,10.5335393086926,105.454719411423
An Giang,Chợ Mới,Long Điền B,10.5148630007107,105.44436146108
An Giang,Chợ Mới,Long Giang,10.4689969821767,105.440144806321
An Giang,Chợ Mới,Long Kiến,10.4648818278317,105.468522247138
An Giang,Chợ Mới,Mỹ An,10.4662030192924,105.512117253861
An Giang,Chợ Mới,Mỹ Hiệp,10.5039883119269,105.541422963606
An Giang,Chợ Mới,Mỹ Hội Đông,10.5136913298337,105.354984550642
An Giang,Chợ Mới,Nhơn Mỹ,10.4707036762664,105.399051664751
An Giang,Chợ Mới,Tân Mỹ,10.5112440318128,105.510895457822
An Giang,Chợ Mới,TT. Chợ Mới,10.5468561021921,105.404615610835
An Giang,Chợ Mới,TT. Mỹ Luông,10.4945243673743,105.487777519537
An Giang,Long Xuyên,Mỹ Hòa Hưng,10.4193201046389,105.434256036922
An Giang,Long Xuyên,Mỹ Khánh,10.3818005528743,105.388366989213
An Giang,Long Xuyên,P. Bình Đức,10.4099243130567,105.400774450997
An Giang,Long Xuyên,P. Bình Khánh,10.3935953006129,105.408234209576
An Giang,Long Xuyên,P. Đông Xuyên,10.3750819352678,105.430078512604
An Giang,Long Xuyên,P. Mỹ Bình,10.3878394744122,105.435626517362
An Giang,Long Xuyên,P. Mỹ Hòa,10.3632566731525,105.40814529041
An Giang,Long Xuyên,P. Mỹ Long,10.381109721048,105.444779421574
An Giang,Long Xuyên,P. Mỹ Phước,10.3678889010499,105.437628163207
An Giang,Long Xuyên,P. Mỹ Quý,10.3589077334471,105.443000812093
An Giang,Long Xuyên,P. Mỹ Thạnh,10.3229920450575,105.465323308029
An Giang,Long Xuyên,P. Mỹ Thới,10.3358385413084,105.440336466577
An Giang,Phú Tân,Bình Thạnh Đông,10.574915614007,105.271230976344
An Giang,Phú Tân,Hiệp Xương,10.6050046292289,105.272005576073
An Giang,Phú Tân,Hòa Lạc,10.677771925917,105.221828749232
An Giang,Phú Tân,Long Hòa,10.7552225594245,105.279676765314
An Giang,Phú Tân,Phú An,10.6638175580145,105.320376322841
An Giang,Phú Tân,Phú Bình,10.615992902806,105.234949176008
An Giang,Phú Tân,Phú Hiệp,10.713778584346,105.185026141875
An Giang,Phú Tân,Phú Hưng,10.5914988608782,105.316000128615
An Giang,Phú Tân,Phú Lâm,10.7321644207447,105.264757644307
An Giang,Phú Tân,Phú Long,10.7274646935137,105.229162402898
An Giang,Phú Tân,Phú Thành,10.675929897576,105.25587630329
An Giang,Phú Tân,Phú Thạnh,10.6942054881779,105.286738039936
An Giang,Phú Tân,Phú Thọ,10.6282124004783,105.326613124431
An Giang,Phú Tân,Phú Xuân,10.6269997497154,105.287889414175
An Giang,Phú Tân,Tân Hòa,10.5694376574891,105.326070602001
An Giang,Phú Tân,Tân Trung,10.5617501264794,105.343173009509
An Giang,Phú Tân,TT. Chợ Vàm,10.700183254641,105.325304746963
An Giang,Phú Tân,TT. Phú Mỹ,10.5928294020782,105.350894279694
An Giang,Thoại Sơn,An Bình,10.3080136510242,105.155675746428
An Giang,Thoại Sơn,Bình Thành,10.2152319366481,105.203358409003
An Giang,Thoại Sơn,Định Mỹ,10.3170867345946,105.258901086227
An Giang,Thoại Sơn,Định Thành,10.3000783584394,105.301983883122
An Giang,Thoại Sơn,Mỹ Phú Đông,10.3124867061654,105.20739141269
An Giang,Thoại Sơn,Phú Thuận,10.2947613719734,105.410868955635
An Giang,Thoại Sơn,Tây Phú,10.3501134158724,105.153328726146
An Giang,Thoại Sơn,Thoại Giang,10.2611747230531,105.237195594081
An Giang,Thoại Sơn,TT. Núi Sập,10.2587508985801,105.270491815833
An Giang,Thoại Sơn,TT. Óc Eo,10.242012148931,105.156331994983
An Giang,Thoại Sơn,TT. Phú Hòa,10.3510145259777,105.381927666821
An Giang,Thoại Sơn,Vĩnh Chánh,10.2957098066112,105.376675824511
An Giang,Thoại Sơn,Vĩnh Khánh,10.2731548153814,105.3424889286
An Giang,Thoại Sơn,Vĩnh Phú,10.3549034756134,105.237709004738
An Giang,Thoại Sơn,Vĩnh Trạch,10.3344277008999,105.339618981112
An Giang,Thoại Sơn,Vọng Đông,10.2600423308233,105.189428314068
An Giang,Thoại Sơn,Vọng Thê,10.2758626228945,105.131921596112
An Giang,Tịnh Biên,An Cư,10.5434145395076,104.979727517561
An Giang,Tịnh Biên,An Hảo,10.4777718672509,105.012614023468
An Giang,Tịnh Biên,An Nông,10.5527812248347,104.933492037891
