Gia Lai,Chư Păh,01/06/2007,0
Gia Lai,Chư Păh,01/07/2007,0
Gia Lai,Chư Păh,01/08/2007,0
Gia Lai,Chư Păh,01/09/2007,0
Gia Lai,Chư Păh,01/10/2007,0
Gia Lai,Chư Păh,01/11/2007,0
Gia Lai,Chư Păh,01/12/2007,0
Gia Lai,Chư Păh,01/01/2008,0
Gia Lai,Chư Păh,01/02/2008,0
Gia Lai,Chư Păh,01/03/2008,1
Gia Lai,Chư Păh,01/04/2008,4
Gia Lai,Chư Păh,01/05/2008,1
Gia Lai,Chư Păh,01/06/2008,1
Gia Lai,Chư Păh,01/07/2008,0
Gia Lai,Chư Păh,01/08/2008,0
Gia Lai,Chư Păh,01/09/2008,0
Gia Lai,Chư Păh,01/10/2008,0
Gia Lai,Chư Păh,01/11/2008,0
Gia Lai,Chư Păh,01/12/2008,0
Gia Lai,Chư Păh,01/01/2009,0
Gia Lai,Chư Păh,01/02/2009,0
Gia Lai,Chư Păh,01/03/2009,1
Gia Lai,Chư Păh,01/04/2009,2
Gia Lai,Chư Păh,01/05/2009,0
Gia Lai,Chư Păh,01/06/2009,0
Gia Lai,Chư Păh,01/07/2009,0
Gia Lai,Chư Păh,01/08/2009,0
Gia Lai,Chư Păh,01/09/2009,0
Gia Lai,Chư Păh,01/10/2009,1
Gia Lai,Chư Păh,01/11/2009,2
Gia Lai,Chư Păh,01/12/2009,0
Gia Lai,Chư Păh,01/01/2010,0
Gia Lai,Chư Păh,01/02/2010,1
Gia Lai,Chư Păh,01/03/2010,13
Gia Lai,Chư Păh,01/04/2010,21
Gia Lai,Chư Păh,01/05/2010,2
Gia Lai,Chư Păh,01/06/2010,0
Gia Lai,Chư Păh,01/07/2010,0
Gia Lai,Chư Păh,01/08/2010,0
Gia Lai,Chư Păh,01/09/2010,1
Gia Lai,Chư Păh,01/10/2010,2
Gia Lai,Chư Păh,01/11/2010,2
Gia Lai,Chư Păh,01/12/2010,0
Gia Lai,Chư Păh,01/01/2011,1
Gia Lai,Chư Păh,01/02/2011,2
Gia Lai,Chư Păh,01/03/2011,5
Gia Lai,Chư Păh,01/04/2011,16
Gia Lai,Chư Păh,01/05/2011,12
